,name,latitude,longitude,adress,photo_id,photo_width
1646,Площадка волейбол и баскетбол,55.7870814,37.5324434,"ЦСКА, Москва, Россия, 125252",Aap_uECyVqwtOAz0v7OeOJfFZDI9H1YRjGaqNRTNoF_m0f8JAteBYlILb_hflPWUXqkMxX61avg45WK-wXgO_VbV2B5RiPn8vLCvVPF9zo4TOdKdkh63zUUs5UPaxn1OPMNI4P8C3W_OUjXpO2y3qvwaNcDplb5Pojtjrjm6Wl3cjdAWauwL,2448.0
1647,Баскетбольная площадка,55.8058083,37.6434521,"Москва, Россия, 129626",,
1648,Баскетбольная площадка,55.77446399999999,37.639961,"Большая Спасская ул., 15, Москва, Россия, 129090",,
1649,Баскетбольная площадка,55.8185041,37.6497913,"Москва, Россия, 129366",,
1650,баскетбольная площадка на территории учебного заведения,55.8069976,37.6428359,"Москва, Россия, 129626",,
1651,Баскетбольная площадка,55.8454705,37.5485912,"с, пр-д Черепановых, 64с1, Москва, Россия, 125183",,
1652,Баскетбольная площадка,55.81809670000001,37.5005964,"Зои и Александра Космодемьянских ул., 1с1, Москва, Россия, 125026",,
1653,Баскетбольная Площадка,55.7588677,37.635397,"Москва, Россия, 101000",Aap_uECNvohEYYvGMB9TTf_G7I21r0LQlECuhBbu213zTLUmDaV2XftMW3eW4Iu3d8JzdxyQXllg_VQnpokQXbKDJx18PdQo0WVXsa60kXqNtIQIoaY_2vpTF2hzd0jdUjdOn-E8vHsRiLj4U5GUYZuLlRY3p7H0RzdV3Pat0eNb40XjalVN,4032.0
1654,Баскетбольная площадка,55.77114229999999,37.492787,"ул. Мнёвники, 7 строение 2, Москва, Московская обл., Россия, 123308",,
1655,Площадка,55.8403983,37.50555430000001,"Нарвская ул., 16, Москва, Россия, 125499",,
1656,Площадка для Баскетбола,55.810033,37.539277,"Большой Коптевский пр., 16, Москва, Россия, 125319",,
1657,Баскетбольная площадка,55.8253089,37.449119,"ул. Свободы, 3А, Москва, Россия, 125362",,
1658,Спортивная Площадка,55.8003165,37.6964867,"Москва, Россия, 107076",,
1659,Баскетбольная площадка,55.74790059999999,37.5006925,"Физкультурный пр-д, 7/13, Москва, Россия, 121309",,
1660,Баскетбольная площадка,55.7709081,37.5870516,"Васильевская ул., 4, Москва, Россия, 123056",,
1661,Баскетбольная площадка,55.97519759999999,37.1680731,"Зеленоград, Московская обл., Россия, 124365",,
1662,Баскетбольная площадка,55.9727054,37.1641191,"Зеленоград, Москва, Россия, 124365",,
1663,Баскетбольная площадка,55.966275,37.1505229,"Георгиевский просп., 37к2, Зеленоград, Москва, Россия, 124365",,
1664,Баскетбольная площадка в 15м микр,55.9793789,37.1597525,"Москва, Россия, 124365",,
1665,Баскетбольное площадка,55.9421905,37.2922788,"Химки, Московская обл., Россия, 141420",,
